,0
0,Unnamed: 0
1,ENSG00000185630.18.mRNA.PBX1.ENSG00000185630.18.ENSG00000185630.18.0.21249
2,ENSG00000185650.9.mRNA.ZFP36L1.ENSG00000185650.9.ENSG00000185650.9.0.5160
3,ENSG00000185651.14.mRNA.UBE2L3.ENSG00000185651.14.ENSG00000185651.14.0.3838
4,ENSG00000185864.16.mRNA.NPIPB4.ENSG00000185864.16.ENSG00000185864.16.0.7773
5,ENSG00000185883.11.mRNA.ATP6V0C.ENSG00000185883.11.ENSG00000185883.11.0.1498
6,ENSG00000185885.15.mRNA.IFITM1.ENSG00000185885.15.ENSG00000185885.15.0.1080
7,ENSG00000185896.10.mRNA.LAMP1.ENSG00000185896.10.ENSG00000185896.10.0.5739
8,ENSG00000185905.3.mRNA.C16orf54.ENSG00000185905.3.ENSG00000185905.3.0.2585
9,ENSG00000185909.14.mRNA.KLHDC8B.ENSG00000185909.14.ENSG00000185909.14.0.2158
10,ENSG00000185917.13.mRNA.SETD4.ENSG00000185917.13.ENSG00000185917.13.0.7312
11,ENSG00000185920.15.mRNA.PTCH1.ENSG00000185920.15.ENSG00000185920.15.0.16591
12,ENSG00000185946.15.mRNA.RNPC3.ENSG00000185946.15.ENSG00000185946.15.0.6867
13,ENSG00000185947.14.mRNA.ZNF267.ENSG00000185947.14.ENSG00000185947.14.0.6333
14,ENSG00000185950.8.mRNA.IRS2.ENSG00000185950.8.ENSG00000185950.8.0.8138
15,ENSG00000185963.13.mRNA.BICD2.ENSG00000185963.13.ENSG00000185963.13.0.6427
16,ENSG00000185973.10.mRNA.TMLHE.ENSG00000185973.10.ENSG00000185973.10.0.3922
17,ENSG00000185989.10.mRNA.RASA3.ENSG00000185989.10.ENSG00000185989.10.0.4763
18,ENSG00000186001.12.mRNA.LRCH3.ENSG00000186001.12.ENSG00000186001.12.0.12639
19,ENSG00000186010.18.mRNA.NDUFA13.ENSG00000186010.18.ENSG00000186010.18.0.2708
20,ENSG00000186017.14.mRNA.ZNF566.ENSG00000186017.14.ENSG00000186017.14.0.6481
21,ENSG00000186020.12.mRNA.ZNF529.ENSG00000186020.12.ENSG00000186020.12.0.8173
22,ENSG00000186063.12.mRNA.AIDA.ENSG00000186063.12.ENSG00000186063.12.0.4232
23,ENSG00000186073.11.mRNA.C15orf41.ENSG00000186073.11.ENSG00000186073.11.0.9009
24,ENSG00000186074.18.mRNA.CD300LF.ENSG00000186074.18.ENSG00000186074.18.0.2161
25,ENSG00000186081.11.mRNA.KRT5.ENSG00000186081.11.ENSG00000186081.11.0.4292
26,ENSG00000186088.15.mRNA.GSAP.ENSG00000186088.15.ENSG00000186088.15.0.9001
27,ENSG00000186105.7.mRNA.LRRC70.ENSG00000186105.7.ENSG00000186105.7.0.2249
28,ENSG00000186106.11.mRNA.ANKRD46.ENSG00000186106.11.ENSG00000186106.11.0.5820
29,ENSG00000186111.9.mRNA.PIP5K1C.ENSG00000186111.9.ENSG00000186111.9.0.6963
30,ENSG00000186132.14.mRNA.C2orf76.ENSG00000186132.14.ENSG00000186132.14.0.1548
