,0
0,ENSG00000052126.14.mRNA.PLEKHA5.ENSG00000052126.14.ENSG00000052126.14.0.12558
1,ENSG00000068885.14.mRNA.IFT80.ENSG00000068885.14.ENSG00000068885.14.0.7175
2,ENSG00000072042.12.mRNA.RDH11.ENSG00000072042.12.ENSG00000072042.12.0.5518
3,ENSG00000085872.14.mRNA.CHERP.ENSG00000085872.14.ENSG00000085872.14.0.6113
4,ENSG00000086666.18.mRNA.ZFAND6.ENSG00000086666.18.ENSG00000086666.18.0.5153
5,ENSG00000099977.13.mRNA.DDT.ENSG00000099977.13.ENSG00000099977.13.0.1753
6,ENSG00000102317.17.mRNA.RBM3.ENSG00000102317.17.ENSG00000102317.17.0.3731
7,ENSG00000118855.18.mRNA.MFSD1.ENSG00000118855.18.ENSG00000118855.18.0.5288
8,ENSG00000127314.17.mRNA.RAP1B.ENSG00000127314.17.ENSG00000127314.17.0.16942
9,ENSG00000132670.20.mRNA.PTPRA.ENSG00000132670.20.ENSG00000132670.20.0.4469
10,ENSG00000134851.12.mRNA.TMEM165.ENSG00000134851.12.ENSG00000134851.12.0.7045
11,ENSG00000136731.12.mRNA.UGGT1.ENSG00000136731.12.ENSG00000136731.12.0.11349
12,ENSG00000140941.12.mRNA.MAP1LC3B.ENSG00000140941.12.ENSG00000140941.12.0.5313
13,ENSG00000143222.11.mRNA.UFC1.ENSG00000143222.11.ENSG00000143222.11.0.2274
14,ENSG00000146066.2.mRNA.HIGD2A.ENSG00000146066.2.ENSG00000146066.2.0.668
15,ENSG00000147123.10.mRNA.NDUFB11.ENSG00000147123.10.ENSG00000147123.10.0.1418
16,ENSG00000157500.10.mRNA.APPL1.ENSG00000157500.10.ENSG00000157500.10.0.7033
17,ENSG00000162441.11.mRNA.LZIC.ENSG00000162441.11.ENSG00000162441.11.0.2794
18,ENSG00000163320.10.mRNA.CGGBP1.ENSG00000163320.10.ENSG00000163320.10.0.6490
19,ENSG00000165283.15.mRNA.STOML2.ENSG00000165283.15.ENSG00000165283.15.0.1806
20,ENSG00000176845.12.mRNA.METRNL.ENSG00000176845.12.ENSG00000176845.12.0.2626
21,ENSG00000178904.18.mRNA.DPY19L3.ENSG00000178904.18.ENSG00000178904.18.0.10781
22,ENSG00000181016.9.mRNA.LSMEM1.ENSG00000181016.9.ENSG00000181016.9.0.2592
23,ENSG00000183690.12.mRNA.EFHC2.ENSG00000183690.12.ENSG00000183690.12.0.3319
24,ENSG00000198589.10.mRNA.LRBA.ENSG00000198589.10.ENSG00000198589.10.0.14929
25,ENSG00000256671.6.mRNA.LIMS4.ENSG00000256671.6.ENSG00000256671.6.0.2553
26,ENSG00000257167.2.lncRNA.TMPO.AS1.ENSG00000257167.2.ENSG00000257167.2.0.3357
27,ENSG00000259719.5.lncRNA.LINC02284.ENSG00000259719.5.ENSG00000259719.5.0.846
28,ENSG00000259753.1.mRNA.AC068234.1.ENSG00000259753.1.ENSG00000259753.1.0.2785
29,hsa_circ_0006790.circRNA.hsa_circ_0006790.hsa_circ_0006790.hsa_circ_0006790.0.450
30,hsa_circ_0073222.circRNA.hsa_circ_0073222.hsa_circ_0073222.hsa_circ_0073222.0.440
